CID,IC50,SMILES,MolecularWeight,NumAtoms,NumTorsions
146681255,190.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2=CC=CC=C2,484.5,33,11
11670042,4.0,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,472.5,34,11
10169886,0.3,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)NC(C)C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,873.0,62,26
448281,440.0,CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O,428.3,28,10
9954278,0.44,CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O,428.3,28,10
156882253,0.6,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=NC=C2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,577.6,42,13
162396368,0.93,CC1=C(C(=NC=N1)C)CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,620.7,45,14
3132,1.0,C1=CC=C(C=C1)CC(CS)C(=O)NCC(=O)O,253.32,17,6
123929899,1.0,CCCC(C(CC(C)C)C(=O)NC(CCCCNC(=O)OCC1=CC=CC=C1)C(=O)NC2=NC=CS2)N(C=O)O,575.7,40,18
156023316,464.0,CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=C(C=CC=C2C(F)(F)F)C(F)(F)F)NC(=O)C3=CC4=C(N3)C=CC=C4OC,726.7,51,13
162396443,3.0,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)OC)C(=O)NC(CC3CCNC3=O)C#N)C,461.6,33,6
11456186,600.0,CC(C(C(=O)NC(CC1CCCCC1)C(=O)NC(CC2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3)OC(C)(C)C,600.7,43,14
9852384,1.4,CCCCOC(=O)NS(=O)(=O)C1=C(C=C(C=C1)CC2=CC(=CC=C2)OC)C3=CC=C(C=C3)CN4C(=NC5=C4N=C(C=C5C)C)CC,640.8,46,12
156882202,1.42,CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCCCN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,597.7,43,13
