SMILES,IC50,Number_of_Atoms,Voronoi_Entropy
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2=CC=CC=C2,190.0,33,1.3324314110748812
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,4.0,34,1.3416881908774518
CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)NC(C)C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,0.3,62,1.0512435186197397
CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O,440.0,28,1.3199455010093302
CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O,0.44,28,1.3199455010093302
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=NC=C2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,0.6,42,1.3975346032752454
CC1=C(C(=NC=N1)C)CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,0.93,45,1.3080832228899653
C1=CC=C(C=C1)CC(CS)C(=O)NCC(=O)O,1.0,17,0.6365141682948128
CCCC(C(CC(C)C)C(=O)NC(CCCCNC(=O)OCC1=CC=CC=C1)C(=O)NC2=NC=CS2)N(C=O)O,1.0,40,1.2985492163438335
CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=C(C=CC=C2C(F)(F)F)C(F)(F)F)NC(=O)C3=CC4=C(N3)C=CC=C4OC,464.0,51,1.4895637564870572
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)OC)C(=O)NC(CC3CCNC3=O)C#N)C,3.0,33,1.4088131112702587
CC(C(C(=O)NC(CC1CCCCC1)C(=O)NC(CC2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3)OC(C)(C)C,600.0,43,1.3752020937425333
CCCCOC(=O)NS(=O)(=O)C1=C(C=C(C=C1)CC2=CC(=CC=C2)OC)C3=CC=C(C=C3)CN4C(=NC5=C4N=C(C=C5C)C)CC,1.4,46,1.5418845797901932
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCCCN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,1.42,43,1.3964969866184638
CC(C)CC(C(=O)NC(CS)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C(C)O)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)O)C(=O)NC(CS)C(=O)NC(CCC(=O)O)C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)N,1.5,140,1.5498492081360478
CS(=O)(=O)NC(CCC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2,1.9,44,1.350044689985175
C1CCC(CC1)CC(C(=O)NC(CC2CCCNC2=O)C(=O)C(=O)NCC3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4,2.0,44,1.3626834495807454
C1CC(C(=O)NC1)CC(C(=O)C(=O)NCC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)NC(=O)C4=NC5=CC=CC=C5N=C4,2.0,45,1.266385604256139
CC(C)CC(C(=O)NC(CC1CCNC1=O)C#N)NC(=O)C2=CC3=C(C=CC(=C3N2)F)OC,2.0,33,1.3817860322593332
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)OCC2=CC=CC=C2,2.0,33,1.061845776521178
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OC1=CC2=C(N1)C=CC=C2OC,6.0,33,1.2112465729695872
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,2.0,34,0.9699594355506201
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C2=CC3=CC=CC=C3N2,2.0,33,1.1877750348323688
