SMILES,IC50,Number_of_Atoms,Voronoi_Entropy,Shennon_Enthropy
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2=CC=CC=C2,190.0,33,1.3324314110748812,2.921975728429415
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,4.0,34,1.3416881908774518,2.682392376024921
CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)NC(C)C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,0.3,62,1.0512435186197397,2.5951159411503624
CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O,440.0,28,1.3199455010093302,2.6913959545478026
CC(C)CC(C(=O)O)NC(CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O,0.44,28,1.3199455010093302,2.6913959545478026
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2=CC=NC=C2)NC(=O)C3=CC4=C(N3)C=CC=C4OC,0.6,42,1.3975346032752454,2.72787154186546
CC1=C(C(=NC=N1)C)CC(=O)OCC(=O)C(CC2CCNC2=O)NC(=O)C(CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,0.93,45,1.3080832228899653,2.7315159789008625
C1=CC=C(C=C1)CC(CS)C(=O)NCC(=O)O,1.0,17,0.6365141682948128,2.5817475629608078
CCCC(C(CC(C)C)C(=O)NC(CCCCNC(=O)OCC1=CC=CC=C1)C(=O)NC2=NC=CS2)N(C=O)O,1.0,40,1.2985492163438335,2.597587089975887
CC(C)CC(C(=O)NC(CC1CCCNC1=O)C(=O)COC(=O)C2=C(C=CC=C2C(F)(F)F)C(F)(F)F)NC(=O)C3=CC4=C(N3)C=CC=C4OC,464.0,51,1.4895637564870572,2.85387182423286
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)OC)C(=O)NC(CC3CCNC3=O)C#N)C,3.0,33,1.4088131112702587,2.75469112756356
CC(C(C(=O)NC(CC1CCCCC1)C(=O)NC(CC2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3)OC(C)(C)C,600.0,43,1.3752020937425333,2.5660168974243494
CCCCOC(=O)NS(=O)(=O)C1=C(C=C(C=C1)CC2=CC(=CC=C2)OC)C3=CC=C(C=C3)CN4C(=NC5=C4N=C(C=C5C)C)CC,1.4,46,1.5418845797901932,2.7497909790816566
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCCCN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,1.42,43,1.3964969866184638,2.703578361288138
CC(C)CC(C(=O)NC(CS)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C(C)O)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)O)C(=O)NC(CS)C(=O)NC(CCC(=O)O)C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)N,1.5,140,1.5498492081360478,2.731342388764546
CS(=O)(=O)NC(CCC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2,1.9,44,1.350044689985175,2.798778808153837
C1CCC(CC1)CC(C(=O)NC(CC2CCCNC2=O)C(=O)C(=O)NCC3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4,2.0,44,1.3626834495807454,2.7154838890267934
C1CC(C(=O)NC1)CC(C(=O)C(=O)NCC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)NC(=O)C4=NC5=CC=CC=C5N=C4,2.0,45,1.266385604256139,2.7407233569834957
CC(C)CC(C(=O)NC(CC1CCNC1=O)C#N)NC(=O)C2=CC3=C(C=CC(=C3N2)F)OC,2.0,33,1.3817860322593332,2.8388353895799714
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)C(F)Cl)NC(=O)OCC2=CC=CC=C2,2.0,33,1.061845776521178,2.729047994642373
CC(C)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)OC1=CC2=C(N1)C=CC=C2OC,6.0,33,1.2112465729695872,2.708600970245193
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C=CC2=C(C=C(C=C2)Cl)F,2.0,34,0.9699594355506201,2.7238629864746695
C1CCC(CC1)CC(C(=O)NN(CCC(=O)N)C(=O)CCl)NC(=O)C2=CC3=CC=CC=C3N2,2.0,33,1.1877750348323688,2.7452977716683105
CN(C(CC1CCCCC1)C(=O)NN(CCC(=O)N)C(=O)CCl)C(=O)C2=CC3=CC=CC=C3N2,2.0,34,1.1056246048218226,2.723168588141005
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)C2CCCN2C)NC(=O)C3=CC4=C(N3)C=CC=C4OC,2.47,42,1.4256880212768273,2.722189786361528
CC(C)C(C(=O)NC(CC1=CC=CC=C1)C=O)NC(=O)OCC2=CC=CC=C2,2.5,28,1.2589910288554198,2.4595606052680647
CC(C)CC(C(=O)NN(CC1CCNC1=O)C(=O)CCl)NC(=O)C2=CC3=CC=CC=C3N2,2.7,32,1.2286454556577162,2.7526241430499425
COC1=C(C2=C(CN(C(C2)C(=O)O)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4)C=C1)OCC5=CC=CC=C5,75.0,38,0.8963792765729861,2.63982779907451
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COC(=O)CN(C)C)NC(=O)C2=CC3=C(N2)C=CC=C3OC,2.98,40,1.3915535982351754,2.6630432193540523
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,3.0,35,1.4888509435533248,2.8657751171846897
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CC(NC3=O)O)C#N)C,3.0,36,1.5041682138864356,2.871639269674308
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)CO)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,3.0,36,1.521395089668902,2.8813641130588215
COC1=CC=CC2=C1C=C(N2)C(=O)NC(CC3CCCCC3)C(=O)NN(CCC(=O)N)C(=O)C(F)Cl,3.0,36,1.2435007435173988,2.822571493543716
C1=CC=C(C=C1)CC(C(=O)NC(CCCN=C(N)N)C(=O)C2=NC3=CC=CC=C3S2)NC(=O)C(CCC(=O)N)NC(=O)C(CCCN=C(N)N)N,3.1,51,1.2668879680856815,2.7126317625621703
